link,name,hall_of_fame,active_player,years_played,career_batting_average,career_hits,career_HRs,career_WAR,career_RBIs,career_runs,career_OBP,career_SLG,career_OPS,world_series_wins,golden_glove_awards,mvps,career_hitting_titles,silver_slugger_awards,all_star_apps
http://www.baseball-reference.com/players/a/allendu01.shtml,Dusty Allen,False,False,1,.250,7,2,0.1,2,5,.344,.536,.879,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenet01.shtml,Ethan Allen,False,False,13,.300,1325,47,7.6,501,623,.336,.410,.745,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allengr01.shtml,Greg Allen,False,True,5,.241,143,8,1.0,59,86,.307,.348,.655,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenha01.shtml,Ham Allen,False,False,1,.271,19,0,0.2,11,9,.271,.314,.586,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenha02.shtml,Hank Allen,False,False,7,.241,212,6,-3.4,57,104,.281,.312,.593,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenhe01.shtml,Hezekiah Allen,False,False,1,.667,2,0,0.1,0,0,.667,.667,1.333,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenho01.shtml,Horace Allen,False,False,1,.000,0,0,-0.2,0,0,.000,.000,.000,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenja01.shtml,Jack Allen,False,False,1,.148,16,0,-0.9,7,14,.164,.213,.377,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenja02.shtml,Jamie Allen,False,False,1,.223,61,4,-0.4,21,23,.309,.304,.613,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenki01.shtml,Kim Allen,False,False,2,.222,12,0,-0.1,3,10,.333,.278,.611,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenlu01.shtml,Luke Allen,False,False,2,.111,1,0,0.0,0,2,.273,.222,.495,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allenmy01.shtml,Myron Allen,False,False,4,.259,157,4,1.5,88,89,.317,.371,.688,0,0,0,0,0,0
