link,name,hall_of_fame,active_player,years_played,career_era,career_whip,career_ip,career_wl,career_wins,career_so,career_war,career_saves,world_series_wins,cy_young_awards,mvps,era_titles,all_star_apps
http://www.baseball-reference.com/players/t/tuftsbo01.shtml,Bob Tufts,False,False,3,4.71,1.762,42.0,1.000,2,28,-0.5,2,0,0,0,0,0
http://www.baseball-reference.com/players/t/tuivasa01.shtml,Sam Tuivailala,False,False,6,3.33,1.331,127.0,.533,8,119,1.9,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/tunnele01.shtml,Lee Tunnell,False,False,6,4.23,1.447,483.0,.440,22,280,0.9,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/turbege01.shtml,George Turbeville,False,False,3,6.14,1.912,184.2,.143,2,47,-0.7,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/turklu01.shtml,Lucas Turk,False,False,1,6.94,1.800,11.2,,0,1,-0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/turlebo01.shtml,Bob Turley,False,False,12,3.64,1.421,1712.2,.543,101,1265,13.2,13,2,1,1,0,3
http://www.baseball-reference.com/players/t/turleni01.shtml,Nik Turley,False,False,2,7.78,1.576,39.1,.000,0,33,-1.2,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/turnbde01.shtml,Derrick Turnbow,False,False,7,4.30,1.451,257.2,.515,17,265,1.1,65,0,0,0,0,1
http://www.baseball-reference.com/players/t/turnbsp01.shtml,Spencer Turnbull,False,True,4,4.25,1.323,271.1,.306,11,256,4.3,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/turne03.shtml,Turner,False,False,1,11.57,2.429,7.0,1.000,1,0,-0.4,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/turneja01.shtml,Jacob Turner,False,False,7,5.37,1.545,369.0,.311,14,236,-2.6,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/turneji01.shtml,Jim Turner,False,False,9,3.22,1.242,1132.0,.535,69,329,12.2,20,1,0,0,1,1
http://www.baseball-reference.com/players/t/turneke01.shtml,Ken Turner,False,False,1,4.15,1.154,17.1,.333,1,6,-0.2,0,0,0,0,0,0
http://www.baseball-reference.com/players/t/turnema01.shtml,Matt Turner,False,False,2,2.79,1.252,80.2,.500,5,64,2.2,1,0,0,0,0,0
http://www.baseball-reference.com/players/t/turnete02.shtml,Ted Turner,False,False,1,13.50,2.250,1.1,,0,0,-0.2,0,0,0,0,0,0
